,X,Y,Z
1,-7.45866948,-0.80442889,1.9377763
2,-7.24032101,1.9370259,1.93780601
3,-7.00988064,5.22921165,1.93775712
4,-6.82610763,7.97333403,1.93769891
5,-6.53146658,11.26026387,1.93782951
6,-6.00006622,-1.35478789,4.53417757
7,-6.00372647,1.50179184,4.67021242
8,-5.94055243,4.93336235,4.69448457
9,-5.81660022,7.79060929,4.65440797
10,-6.07106495,13.96973406,1.93782184
11,-5.51333141,11.20680746,4.536848
12,-5.0017979,14.00765355,4.28734202
13,-5.09707632,16.57086028,1.93780027
14,-4.40866763,16.2194301,3.70766158
15,-3.1037709,-1.55570508,5.41014857
16,-3.15461212,1.5038129,5.90611644
17,-3.20348468,5.19993,6.32908896
18,-3.21601164,8.3044369,6.53483487
19,-3.1409429,11.42030336,6.47498956
20,-2.83527189,15.06167934,5.87056449
21,-2.42756984,17.70908967,4.36265159
22,-2.71496388,18.81872693,1.93777956
23,0.00000238,-1.55808447,5.4116888
24,0.00000199,1.60830268,5.95092329
25,0.00000124,5.43294958,6.43279476
26,-0.00000002,8.63424733,6.69381112
27,-0.00000039,12.48579856,6.62785389
28,-0.00000042,15.63993516,6.05667345
29,0.00000008,18.02972832,4.50323706
30,0.00000158,19.32616275,1.93777338
31,3.15461212,1.5038129,5.90611644
32,3.1409429,11.42030336,6.47498956
33,2.83527189,15.06167934,5.87056449
34,2.42756984,17.70908967,4.36265159
35,3.1037709,-1.55570508,5.41014857
36,3.20348468,5.19993,6.32908896
37,3.21601164,8.3044369,6.53483487
38,2.71496388,18.81872693,1.93777956
39,4.40866763,16.2194301,3.70766158
40,5.0017979,14.00765355,4.28734202
41,5.09707632,16.57086028,1.93780027
42,6.00006622,-1.35478789,4.53417757
43,6.00372647,1.50179184,4.67021242
44,5.94055243,4.93336235,4.69448457
45,5.81660022,7.79060929,4.65440797
46,5.51333141,11.20680746,4.536848
47,6.53146658,11.26026387,1.93782951
48,6.07106495,13.96973406,1.93782184
49,7.24032101,1.9370259,1.93780601
50,7.00988064,5.22921165,1.93775712
51,6.82610763,7.97333403,1.93769891
52,7.45866948,-0.80442889,1.9377763
