q_pip,q_dip,q_linkage_base,q_linkage_distal
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.745329251994329374e-03,-5.248523119301573558e-03,-4.086741364994761483e-03,2.907111006301033029e-03
3.490658503988658748e-03,-1.046080474020483209e-02,-8.157385201917222162e-03,5.794078042276495921e-03
5.235987755982988122e-03,-1.563789815055471877e-02,-1.221231474684358886e-02,8.661571159693792765e-03
6.981317007977317496e-03,-2.078080366771262177e-02,-1.625189385612602067e-02,1.151022681956392901e-02
8.726646259971646002e-03,-2.589047221626117334e-02,-2.027646831706997332e-02,1.434065015916274888e-02
1.047197551196597624e-02,-3.096780860329628737e-02,-2.428636704796272028e-02,1.715341706729978100e-02
1.221730476396030649e-02,-3.601367452189974117e-02,-2.828190319861700885e-02,1.994907608724316717e-02
1.396263401595463499e-02,-4.102889130972942056e-02,-3.226337516129396121e-02,2.272815016439011515e-02
1.570796326794896350e-02,-4.601424248672758566e-02,-3.623106750076576787e-02,2.549113825391069454e-02
1.745329251994329200e-02,-5.097047609303384519e-02,-4.018525181124488199e-02,2.823851680173250500e-02
1.919862177193762398e-02,-5.589830684597396626e-02,-4.412618750706709392e-02,3.097074111084463510e-02
2.094395102393195249e-02,-6.079841813294883934e-02,-4.805412255329155613e-02,3.368824660358971101e-02
2.268928027592628099e-02,-6.567146385511257733e-02,-5.196929414165474270e-02,3.639144998938359521e-02
2.443460952792061297e-02,-7.051807013524058476e-02,-5.587192931679574315e-02,3.908075034636571132e-02
2.617993877991494148e-02,-7.533883690182285875e-02,-5.976224555713116615e-02,4.175653012460678326e-02
2.792526803190926998e-02,-8.013433936008640401e-02,-6.364045131432494173e-02,4.441915607767077390e-02
2.967059728390359849e-02,-8.490512935964256158e-02,-6.750674651487642564e-02,4.706898012867011261e-02
3.141592653589792700e-02,-8.965173666751002912e-02,-7.136132302704289998e-02,4.970634017636488267e-02
3.316125578789225897e-02,-9.437467015425982098e-02,-7.520436509592975938e-02,5.233156084622248017e-02
3.490658503988658401e-02,-9.907441890052748334e-02,-7.903604974939071326e-02,5.494495419102340961e-02
3.665191429188091599e-02,-1.037514532302052928e-01,-8.285654717706325556e-02,5.754682034502245358e-02
3.839724354387524796e-02,-1.084062256761804122e-01,-8.666602108467724719e-02,6.013744813537869049e-02
4.014257279586957300e-02,-1.130391718839285353e-01,-9.046462902557683705e-02,6.271711565422144474e-02
4.188790204786390498e-02,-1.176507114576916813e-01,-9.425252271120454495e-02,6.528609079435110374e-02
4.363323129985823695e-02,-1.222412487537072323e-01,-9.802984830215866197e-02,6.784463175140675872e-02
4.537856055185256199e-02,-1.268111736243673349e-01,-1.017967466812672583e-01,7.039298749495248586e-02
4.712388980384689396e-02,-1.313608621170727631e-01,-1.055533537100394881e-01,7.293139821087990526e-02
4.886921905584122594e-02,-1.358906771309529304e-01,-1.092998004696719150e-01,7.546009571712275488e-02
5.061454830783555098e-02,-1.404009690346006423e-01,-1.130362134877440639e-01,7.797930385469253878e-02
